Time,EventName,EventSource,ClientIP
2024/06/24 14:05:44,AC recovery,MCU Polling,----
2024/06/24 14:05:51,Line Mode,MCU Polling,----
2024/06/25 02:35:30,Battery Mode,MCU Polling,----
2024/06/25 02:35:32,AC failure,MCU Polling,----
2024/06/25 02:36:51,AC recovery,MCU Polling,----
2024/06/25 02:36:58,Line Mode,MCU Polling,----
2024/06/25 13:39:02,AC failure,MCU Polling,----
2024/06/25 13:39:09,Battery Mode,MCU Polling,----
2024/06/25 14:25:31,Line Mode,MCU Polling,----
2024/06/25 14:25:34,AC recovery,MCU Polling,----
2024/06/25 16:55:44,Battery Mode,MCU Polling,----
2024/06/25 16:55:46,AC failure,MCU Polling,----
2024/06/25 17:44:44,AC recovery,MCU Polling,----
2024/06/25 17:44:51,Line Mode,MCU Polling,----
2024/06/26 02:13:22,AC failure,MCU Polling,----
2024/06/26 02:13:29,Battery Mode,MCU Polling,----
2024/06/26 02:16:57,AC recovery,MCU Polling,----
2024/06/26 02:17:04,Line Mode,MCU Polling,----
2024/06/26 11:04:42,AC failure,MCU Polling,----
2024/06/26 11:04:49,Battery Mode,MCU Polling,----
2024/06/26 11:49:43,Line Mode,MCU Polling,----
2024/06/26 11:49:46,AC recovery,MCU Polling,----
2024/06/26 14:13:49,Battery Mode,MCU Polling,----
2024/06/26 14:13:53,AC failure,MCU Polling,----
2024/06/26 15:02:22,AC recovery,MCU Polling,----
2024/06/26 15:02:29,Line Mode,MCU Polling,----
2024/06/30 12:19:31,Battery Mode,MCU Polling,----
2024/06/30 12:19:34,AC failure,MCU Polling,----
2024/06/30 14:48:14,AC recovery,MCU Polling,----
2024/06/30 14:48:21,Line Mode,MCU Polling,----
